indicatorId,geoUnit,year,value
200101,ARM,2000,3146.58
200101,ARM,2001,3104.677
200101,ARM,2002,3064.022
200101,ARM,2003,3047.238
200101,ARM,2004,3030.699
200101,ARM,2005,3014.383
200101,ARM,2006,2998.319
200101,ARM,2007,2982.435
200101,ARM,2008,2967.203
200101,ARM,2009,2952.777
200101,ARM,2010,2938.256
200101,ARM,2011,2923.9
200101,ARM,2012,2922.641
200101,ARM,2013,2922.414
200101,ARM,2014,2922.622
200101,ARM,2015,2922.222
200101,ARM,2016,2920.133
200101,ARM,2017,2917.452
200101,ARM,2018,2912.475
200101,ARM,2019,2907.454
200101,ARM,2020,2900.489
200101,ARM,2021,2881.296
200101,ARM,2022,2859.401
200101,ARM,2023,2902.348
200101,ASM,2000,56.688
200101,ASM,2001,57.021
200101,ASM,2002,57.086
200101,ASM,2003,57.037
200101,ASM,2004,56.904
200101,ASM,2005,56.732
200101,ASM,2006,56.502
200101,ASM,2007,56.247
200101,ASM,2008,55.979
200101,ASM,2009,55.677
200101,ASM,2010,55.379
200101,ASM,2011,55.078
200101,ASM,2012,54.713
200101,ASM,2013,54.265
200101,ASM,2014,53.747
200101,ASM,2015,53.185
200101,ASM,2016,52.571
200101,ASM,2017,51.918
200101,ASM,2018,51.254
200101,ASM,2019,50.563
200101,ASM,2020,49.855
200101,ASM,2021,49.668
200101,ASM,2022,48.782
200101,ASM,2023,47.901
200101,ATG,2000,74.277
200101,ATG,2001,75.547
200101,ATG,2002,76.591
200101,ATG,2003,77.473
200101,ATG,2004,78.295
200101,ATG,2005,79.144
200101,ATG,2006,80.077
200101,ATG,2007,81.131
200101,ATG,2008,82.277
200101,ATG,2009,83.547
200101,ATG,2010,84.799
200101,ATG,2011,85.842
200101,ATG,2012,86.822
200101,ATG,2013,87.698
200101,ATG,2014,88.431
200101,ATG,2015,89.099
200101,ATG,2016,89.719
200101,ATG,2017,90.219
200101,ATG,2018,90.717
200101,ATG,2019,91.135
200101,ATG,2020,91.592
200101,ATG,2021,92.1
200101,ATG,2022,92.598
200101,ATG,2023,93.082
200101,AUS,2000,19016.729
200101,AUS,2001,19248.213
200101,AUS,2002,19482.653
200101,AUS,2003,19708.057
200101,AUS,2004,19930.852
200101,AUS,2005,20162.502
200101,AUS,2006,20426.478
200101,AUS,2007,20754.641
200101,AUS,2008,21154.456
200101,AUS,2009,21586.721
200101,AUS,2010,21979.301
200101,AUS,2011,22303.86
200101,AUS,2012,22655.69
200101,AUS,2013,23049.598
200101,AUS,2014,23422.943
200101,AUS,2015,23768.258
200101,AUS,2016,24127.746
200101,AUS,2017,24532.18
200101,AUS,2018,24929.897
200101,AUS,2019,25309.514
200101,AUS,2020,25655.914
200101,AUS,2021,25831.668
200101,AUS,2022,26081.167
200101,AUS,2023,26320.802
200101,AUT,2000,8003.663
200101,AUT,2001,8022.193
200101,AUT,2002,8062.272
200101,AUT,2003,8101.001
200101,AUT,2004,8144.203
200101,AUT,2005,8202.779
200101,AUT,2006,8255.63
200101,AUT,2007,8284.167
200101,AUT,2008,8309.737
200101,AUT,2009,8336.768
200101,AUT,2010,8353.363
200101,AUT,2011,8376.82
200101,AUT,2012,8409.72
200101,AUT,2013,8453.482
200101,AUT,2014,8509.331
200101,AUT,2015,8586.304
200101,AUT,2016,8701.773
200101,AUT,2017,8774.058
200101,AUT,2018,8823.497
200101,AUT,2019,8859.804
200101,AUT,2020,8901.948
200101,AUT,2021,8940.862
200101,AUT,2022,8993.251
200101,AUT,2023,9136.103
200101,AZE,2000,8134.909
200101,AZE,2001,8214.662
200101,AZE,2002,8288.879
200101,AZE,2003,8363.388
200101,AZE,2004,8437.672
200101,AZE,2005,8542.076
200101,AZE,2006,8652.42
200101,AZE,2007,8770.34
200101,AZE,2008,8886.283
200101,AZE,2009,8998.994
200101,AZE,2010,9093.678
200101,AZE,2011,9200.023
200101,AZE,2012,9312.277
200101,AZE,2013,9440.084
200101,AZE,2014,9568.734
200101,AZE,2015,9693.542
200101,AZE,2016,9812.158
200101,AZE,2017,9924.698
200101,AZE,2018,10012.321
200101,AZE,2019,10067.248
200101,AZE,2020,10153.702
200101,AZE,2021,10209.758
200101,AZE,2022,10258.983
200101,AZE,2023,10331.625
200101,BDI,2000,6403.276
200101,BDI,2001,6537.111
200101,BDI,2002,6731.619
200101,BDI,2003,6916.646
200101,BDI,2004,7169.663
200101,BDI,2005,7451.649
200101,BDI,2006,7722.949
200101,BDI,2007,8008.144
200101,BDI,2008,8315.604
200101,BDI,2009,8695.67
200101,BDI,2010,9199.621
200101,BDI,2011,9553.268
200101,BDI,2012,9882.688
200101,BDI,2013,10259.367
200101,BDI,2014,10619.314
200101,BDI,2015,10980.257
